skill
python
java
c++
c
javascript
typescript
html
css
react
angular
vue
nodejs
express
django
flask
fastapi
spring
spring boot
sql
mysql
postgresql
mongodb
firebase
redis
machine learning
deep learning
nlp
computer vision
data science
data analysis
pandas
numpy
matplotlib
seaborn
scikit-learn
tensorflow
keras
pytorch
power bi
tableau
excel
data visualization
statistics
linear regression
logistic regression
decision tree
random forest
k means
clustering
nlp preprocessing
tokenization
stemming
lemmatization
bert
transformers
openai api
rest api
api development
git
github
docker
kubernetes
aws
azure
gcp
linux
bash
shell scripting
oop
data structures
algorithms
problem solving
system design
unit testing
pytest
selenium
ci cd
agile
scrum
jira
figma
canva
networking
cybersecurity
ethical hacking
blockchain
web3
solidity
